# t, p_bottom, p_top, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, mob_C, imm_C, diss_C, seal_C, M_C 
1.308000e+05, 1.098658e+05, 1.039859e+05, 1.696192e-03, 9.295085e-04, 2.661088e-03, 1.015270e-03, 9.733548e-04, 9.135957e-04, 3.387501e-03, 4.375834e-04, 5.381612e-04, 4.804527e-04, 1.521351e-03, 1.946668e-06, 0.000000e+00   
1.314000e+05, 1.098671e+05, 1.039871e+05, 1.696395e-03, 9.307009e-04, 2.670474e-03, 1.022221e-03, 1.028073e-03, 9.447100e-04, 3.437708e-03, 4.574285e-04, 5.381920e-04, 4.812585e-04, 1.522621e-03, 1.946775e-06, 0.000000e+00   
1.320000e+05, 1.098606e+05, 1.039833e+05, 1.696442e-03, 9.318306e-04, 2.679675e-03, 1.029024e-03, 1.088049e-03, 9.675147e-04, 3.491031e-03, 4.747984e-04, 5.382834e-04, 4.821949e-04, 1.523684e-03, 1.946883e-06, 0.000000e+00   
1.326000e+05, 1.098556e+05, 1.039777e+05, 1.696906e-03, 9.329562e-04, 2.688858e-03, 1.036230e-03, 1.148469e-03, 1.004978e-03, 3.527508e-03, 5.130611e-04, 5.386044e-04, 4.831253e-04, 1.524616e-03, 1.946997e-06, 0.000000e+00   
1.332000e+05, 1.098610e+05, 1.039815e+05, 1.696912e-03, 9.337738e-04, 2.696490e-03, 1.040469e-03, 1.181011e-03, 1.043828e-03, 3.597190e-03, 5.676268e-04, 5.384102e-04, 4.838609e-04, 1.527109e-03, 1.947057e-06, 0.000000e+00   
1.338000e+05, 1.098528e+05, 1.039763e+05, 1.696547e-03, 9.345755e-04, 2.702998e-03, 1.043420e-03, 1.214982e-03, 1.072178e-03, 3.679840e-03, 6.721585e-04, 5.381290e-04, 4.845690e-04, 1.529929e-03, 1.947097e-06, 0.000000e+00   
1.344000e+05, 1.098549e+05, 1.039795e+05, 1.696390e-03, 9.355082e-04, 2.708095e-03, 1.045203e-03, 1.234645e-03, 1.114959e-03, 3.766023e-03, 7.960785e-04, 5.378808e-04, 4.854626e-04, 1.532680e-03, 1.947120e-06, 0.000000e+00   
1.350000e+05, 1.098519e+05, 1.039746e+05, 1.696306e-03, 9.370695e-04, 2.711471e-03, 1.046159e-03, 1.245433e-03, 1.139499e-03, 3.827804e-03, 8.745206e-04, 5.377413e-04, 4.870352e-04, 1.534633e-03, 1.947106e-06, 0.000000e+00   
1.356000e+05, 1.098567e+05, 1.039771e+05, 1.696433e-03, 9.391910e-04, 2.713575e-03, 1.046747e-03, 1.249440e-03, 1.154995e-03, 3.861424e-03, 9.136163e-04, 5.377155e-04, 4.890751e-04, 1.535845e-03, 1.947136e-06, 0.000000e+00   
1.362000e+05, 1.098559e+05, 1.039758e+05, 1.696636e-03, 9.415865e-04, 2.715503e-03, 1.047416e-03, 1.253054e-03, 1.165945e-03, 3.888047e-03, 9.415761e-04, 5.378537e-04, 4.914613e-04, 1.536700e-03, 1.947126e-06, 0.000000e+00   
1.368000e+05, 1.098542e+05, 1.039725e+05, 1.696948e-03, 9.440631e-04, 2.716705e-03, 1.047402e-03, 1.252584e-03, 1.171152e-03, 3.917902e-03, 9.641140e-04, 5.380563e-04, 4.939168e-04, 1.537401e-03, 1.947035e-06, 0.000000e+00   
1.374000e+05, 1.098658e+05, 1.039780e+05, 1.697425e-03, 9.462276e-04, 2.717722e-03, 1.047170e-03, 1.252808e-03, 1.179371e-03, 3.939949e-03, 9.819736e-04, 5.383327e-04, 4.960699e-04, 1.537916e-03, 1.946930e-06, 0.000000e+00   
1.380000e+05, 1.098573e+05, 1.039723e+05, 1.698485e-03, 9.475960e-04, 2.719041e-03, 1.047719e-03, 1.256090e-03, 1.188868e-03, 3.953728e-03, 9.953373e-04, 5.393127e-04, 4.973966e-04, 1.538088e-03, 1.946910e-06, 0.000000e+00   
1.386000e+05, 1.098662e+05, 1.039755e+05, 1.699374e-03, 9.479947e-04, 2.720799e-03, 1.047282e-03, 1.256731e-03, 1.193194e-03, 3.974383e-03, 1.009107e-03, 5.400256e-04, 4.978083e-04, 1.538891e-03, 1.946763e-06, 0.000000e+00   
1.392000e+05, 1.098594e+05, 1.039717e+05, 1.700223e-03, 9.483560e-04, 2.722561e-03, 1.047195e-03, 1.256545e-03, 1.197837e-03, 3.993502e-03, 1.021684e-03, 5.407199e-04, 4.979345e-04, 1.539706e-03, 1.946631e-06, 0.000000e+00   
1.398000e+05, 1.098643e+05, 1.039726e+05, 1.700650e-03, 9.484363e-04, 2.725203e-03, 1.047039e-03, 1.259519e-03, 1.203801e-03, 4.008236e-03, 1.032549e-03, 5.410014e-04, 4.979939e-04, 1.540873e-03, 1.946503e-06, 0.000000e+00   
1.404000e+05, 1.098773e+05, 1.039762e+05, 1.700724e-03, 9.484875e-04, 2.727444e-03, 1.045687e-03, 1.256322e-03, 1.208566e-03, 4.028708e-03, 1.044758e-03, 5.408728e-04, 4.979913e-04, 1.542485e-03, 1.946170e-06, 0.000000e+00   
